year,ICB23CD,ICB23NM,lsoas,care50_num,population_5plus,care50_rate,eligible_charities,lsoas_with_charity_presence,charities_with_usable_income,registered_capacity_log1p_income
2001,E54000036,Cornwall and the Isles of Scilly,337,13149.2550686804,475021.674886102,0.0276813791114547,230,156,211,2044.14020547775
2001,E54000037,Devon,729,24029.2383938213,1020918.19984692,0.0235368890450032,549,327,497,5020.63039292741
2001,E54000038,Somerset,339,9469.7056541105,470954.292856554,0.0201074834601727,247,161,216,2123.47532789221
2001,E54000039,"Bristol, North Somerset and South Gloucestershire",581,15397.6923511903,765169.924129286,0.020123232586163,300,204,259,2838.478943468
2001,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,12582.5484608217,740291.996964451,0.0169967371151062,391,248,357,3620.20451232799
2001,E54000041,Dorset,463,13870.028707056,658834.297533054,0.0210523780546809,281,185,244,2519.88539625644
2001,E54000043,Gloucestershire,393,9329.53136431983,532111.613783635,0.0175330346541043,278,169,244,2503.94967370635
2011,E54000036,Cornwall and the Isles of Scilly,337,15889.1155835466,506945.100728947,0.0313428723558021,326,194,305,3059.85536990213
2011,E54000037,Devon,729,30741.9001455614,1074404.19545271,0.0286129747777166,785,423,736,7480.29093924465
2011,E54000038,Somerset,339,12313.3667708496,501304.558272093,0.0245626467337373,357,206,334,3392.99839093425
2011,E54000039,"Bristol, North Somerset and South Gloucestershire",581,19112.6149117209,835915.093939706,0.0228643017099288,469,274,432,4725.09496349562
2011,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,17127.3599670025,809225.599951913,0.0211651237529068,563,312,534,5537.66637088994
2011,E54000041,Dorset,463,17897.8483917309,705974.606540317,0.0253519719065261,419,251,393,4063.97765416385
2011,E54000043,Gloucestershire,393,12218.794229588,563596.84511431,0.0216800259538531,394,208,368,3800.86148498261
2021,E54000036,Cornwall and the Isles of Scilly,337,17516,546772,0.0320352907610485,401,213,395,3624.17926674229
2021,E54000037,Devon,729,35246,1160932,0.0303600899966579,905,431,882,8529.58912609865
2021,E54000038,Somerset,339,14765,544540,0.027114628861057,416,224,407,3901.86346073851
2021,E54000039,"Bristol, North Somerset and South Gloucestershire",581,21093,926946,0.0227553708630276,583,299,565,5796.41332945134
2021,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,21216,894790,0.0237105913119279,676,332,655,6393.7077388395
2021,E54000041,Dorset,463,20205,745817,0.0270910960731654,527,272,513,4881.98933147738
2021,E54000043,Gloucestershire,393,14064,612881,0.0229473584594726,488,219,477,4685.25971103508
