start_year,end_year,start_hpla,end_hpla,transition,lsoas,share_of_lsoas
2001,2011,0,0,0→0,2169,0.635883905013193
2001,2011,0,1,0→1,257,0.0753444737613603
2001,2011,1,0,1→0,267,0.0782761653474054
2001,2011,1,1,1→1,718,0.210495455878042
2011,2021,0,0,0→0,2132,0.625036646144826
2011,2021,0,1,0→1,304,0.0891234242157725
2011,2021,1,0,1→0,279,0.0817941952506596
2011,2021,1,1,1→1,696,0.204045734388742
2001,2021,0,0,0→0,2062,0.60451480504251
2001,2021,0,1,0→1,364,0.106713573732043
2001,2021,1,0,1→0,349,0.102316036352976
2001,2021,1,1,1→1,636,0.186455584872471
