year,ICB23CD,ICB23NM,lsoas,care50_num,population_5plus,registered_capacity_log1p_income,mean_A,median_A,care50_weighted_A,mean_Astar,median_Astar,care50_weighted_Astar,care50_weighted_relative_accessibility_deficit,lsoas_below_baseline,share_lsoas_below_baseline,care50_in_below_baseline_lsoas
2001,E54000036,Cornwall and the Isles of Scilly,337,13149.2550686804,475021.674886102,2044.14020547775,0.154415967312194,0.152555068503436,0.152799857870165,0.729707757559011,0.720913898216489,0.722070674312767,0.277929325687233,292,0.86646884272997,11570.960996028
2001,E54000037,Devon,729,24029.2383938213,1020918.19984692,5020.63039292741,0.220394735743972,0.17631456995447,0.209172924999643,1.04149688142286,0.833191746332425,0.988467117101663,0.0115328828983371,441,0.604938271604938,15579.3840498374
2001,E54000038,Somerset,339,9469.7056541105,470954.292856554,2123.47532789221,0.228131000165995,0.24207744448818,0.221206448271716,1.07805535566319,1.14396064246354,1.04533270836947,-0.04533270836947,128,0.377581120943953,3994.37646368739
2001,E54000039,"Bristol, North Somerset and South Gloucestershire",581,15397.6923511903,765169.924129286,2838.478943468,0.203739667826859,0.207586602374665,0.202494122534145,0.962791728883693,0.980970794372956,0.956905782771356,0.043094217228644,298,0.512908777969019,8000.19157882671
2001,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,12582.5484608217,740291.996964451,3620.20451232799,0.275651841624438,0.25937745901418,0.274621894571277,1.30261974017305,1.22571355328773,1.29775262463022,-0.297752624630218,204,0.358523725834798,4478.52578944871
2001,E54000041,Dorset,463,13870.028707056,658834.297533054,2519.88539625644,0.190810819869446,0.176160469657511,0.188628875733709,0.901695193240127,0.832463530305997,0.891384202802278,0.108615797197722,380,0.8207343412527,11459.2575216035
2001,E54000043,Gloucestershire,393,9329.53136431983,532111.613783635,2503.94967370635,0.254149684130048,0.251526957547222,0.255298531063504,1.20100919172381,1.1886152407176,1.20643818028104,-0.206438180281036,85,0.216284987277354,2013.77497495864
2011,E54000036,Cornwall and the Isles of Scilly,337,15889.1155835466,506945.100728947,3059.85536990213,0.191652750183069,0.192523699400281,0.191693094669001,0.905673817289624,0.909789573006485,0.905864469104147,0.0941355308958535,215,0.637982195845697,10184.7265733111
2011,E54000037,Devon,729,30741.9001455614,1074404.19545271,7480.29093924464,0.255042144322032,0.21663671159638,0.242512219287128,1.20522659965603,1.02373797072649,1.14601521330298,-0.146015213302978,345,0.473251028806584,15785.614141001
2011,E54000038,Somerset,339,12313.3667708496,501304.558272093,3392.99839093425,0.279539686569348,0.289020938905038,0.271729302184211,1.32099213174543,1.36579671705583,1.28408339636945,-0.284083396369447,73,0.215339233038348,3138.23322162084
2011,E54000039,"Bristol, North Somerset and South Gloucestershire",581,19112.6149117209,835915.093939706,4725.09496349562,0.27475747884767,0.284143077237883,0.26940590124469,1.29839334139034,1.34274590462511,1.27310393796887,-0.273103937968874,175,0.301204819277108,5795.08704784839
2011,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,17127.3599670025,809225.599951913,5537.66637088994,0.309158632265006,0.286160567036972,0.307404133050967,1.46095935677433,1.35227975000921,1.45266829912401,-0.452668299124007,40,0.070298769771529,1168.63564254817
2011,E54000041,Dorset,463,17897.8483917309,705974.606540317,4063.97765416385,0.239100708921,0.237681213307583,0.238022750976983,1.12989378737476,1.12318582200719,1.12479979167106,-0.124799791671062,112,0.241900647948164,4694.144867893
2011,E54000043,Gloucestershire,393,12218.794229588,563596.84511431,3800.86148498261,0.299322308847084,0.306886854105301,0.299567104817988,1.41447684833396,1.4502238468692,1.41563365563891,-0.415633655638911,46,0.11704834605598,1453.26645305041
2021,E54000036,Cornwall and the Isles of Scilly,337,17516,546772,3624.17926674229,0.206208921879912,0.20691069015187,0.207545364745181,0.974460430438719,0.977776705050536,0.980775921921217,0.0192240780787829,173,0.513353115727003,8821
2021,E54000037,Devon,729,35246,1160932,8529.58912609865,0.249485173093381,0.226525226649439,0.241745313289951,1.17896658856611,1.07046711584376,1.14239112399927,-0.142391123999266,285,0.390946502057613,14468
2021,E54000038,Somerset,339,14765,544540,3901.86346073851,0.262385177330864,0.26839470751585,0.257839259809318,1.23992682038983,1.26832544309446,1.21844464248792,-0.218444642487921,81,0.238938053097345,3813
2021,E54000039,"Bristol, North Somerset and South Gloucestershire",581,21093,926946,5796.41332945134,0.309133762702797,0.323954617770565,0.296465495795905,1.46084183322552,1.53087923353363,1.40097669882463,-0.400976698824635,170,0.292598967297762,6664
2021,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",569,21216,894790,6393.7077388395,0.29518911331136,0.281007075616119,0.293437499122815,1.39494502854599,1.32792642221697,1.38666760436584,-0.386667604365841,45,0.0790861159929701,1508
2021,E54000041,Dorset,463,20205,745817,4881.98933147738,0.251648561673365,0.254564775734488,0.249635945884298,1.18918989291026,1.20297074770231,1.17967908013726,-0.179679080137258,83,0.1792656587473,4060
2021,E54000043,Gloucestershire,393,14064,612881,4685.25971103508,0.317659790738337,0.333956666007121,0.31550111789483,1.50113241267137,1.57814489081465,1.4909313930012,-0.490931393001203,39,0.099236641221374,1389
