ICB23CD,ICB23NM,trajectory_category,lsoas,care50_num_2021,icb_total_lsoas,share_of_icb_lsoas,icb_total_care50_2021,share_of_icb_care50_2021
E54000036,Cornwall and the Isles of Scilly,Emerging HP–LA,32,1724,337,0.0949554896142433,17516,0.0984242977848824
E54000036,Cornwall and the Isles of Scilly,Intermittent,33,1587,337,0.0979228486646884,17516,0.0906028773692624
E54000036,Cornwall and the Isles of Scilly,Never HP–LA,41,1766,337,0.121661721068249,17516,0.10082210550354
E54000036,Cornwall and the Isles of Scilly,Persistent HP–LA,165,9344,337,0.489614243323442,17516,0.533455126741265
E54000036,Cornwall and the Isles of Scilly,Resolved / improved,66,3095,337,0.195845697329377,17516,0.17669559260105
E54000037,Devon,Emerging HP–LA,110,5966,729,0.150891632373114,35246,0.169267434602508
E54000037,Devon,Intermittent,35,1510,729,0.0480109739368999,35246,0.0428417409067696
E54000037,Devon,Never HP–LA,295,11997,729,0.404663923182442,35246,0.340379050104976
E54000037,Devon,Persistent HP–LA,224,13007,729,0.307270233196159,35246,0.369034784088975
E54000037,Devon,Resolved / improved,65,2766,729,0.0891632373113855,35246,0.0784769902967713
E54000038,Somerset,Emerging HP–LA,45,2247,339,0.132743362831858,14765,0.15218421943786
E54000038,Somerset,Intermittent,20,929,339,0.0589970501474926,14765,0.0629190653572638
E54000038,Somerset,Never HP–LA,220,8826,339,0.648967551622419,14765,0.59776498476126
E54000038,Somerset,Persistent HP–LA,30,1804,339,0.0884955752212389,14765,0.122180833051134
E54000038,Somerset,Resolved / improved,24,959,339,0.0707964601769911,14765,0.0649508973924822
E54000039,"Bristol, North Somerset and South Gloucestershire",Emerging HP–LA,34,1564,581,0.0585197934595525,21093,0.0741478215521737
E54000039,"Bristol, North Somerset and South Gloucestershire",Intermittent,26,1024,581,0.044750430292599,21093,0.0485469112975869
E54000039,"Bristol, North Somerset and South Gloucestershire",Never HP–LA,421,13773,581,0.724612736660929,21093,0.652965438771156
E54000039,"Bristol, North Somerset and South Gloucestershire",Persistent HP–LA,40,2104,581,0.0688468158347676,21093,0.0997487318067605
E54000039,"Bristol, North Somerset and South Gloucestershire",Resolved / improved,60,2628,581,0.103270223752151,21093,0.124591096572323
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Emerging HP–LA,56,2684,569,0.0984182776801406,21216,0.126508295625943
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Intermittent,20,833,569,0.0351493848857645,21216,0.0392628205128205
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Never HP–LA,457,15762,569,0.803163444639719,21216,0.742929864253394
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Persistent HP–LA,13,761,569,0.0228471001757469,21216,0.0358691553544495
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Resolved / improved,23,1176,569,0.0404217926186292,21216,0.0554298642533937
E54000041,Dorset,Emerging HP–LA,65,3335,463,0.140388768898488,20205,0.165058153922296
E54000041,Dorset,Intermittent,53,2120,463,0.114470842332613,20205,0.104924523632764
E54000041,Dorset,Never HP–LA,176,6421,463,0.380129589632829,20205,0.317792625587726
E54000041,Dorset,Persistent HP–LA,72,3979,463,0.155507559395248,20205,0.19693145261074
E54000041,Dorset,Resolved / improved,97,4350,463,0.209503239740821,20205,0.215293244246474
E54000043,Gloucestershire,Emerging HP–LA,22,1072,393,0.0559796437659033,14064,0.0762229806598407
E54000043,Gloucestershire,Intermittent,10,378,393,0.0254452926208651,14064,0.026877133105802
E54000043,Gloucestershire,Never HP–LA,342,11862,393,0.870229007633588,14064,0.843430034129693
E54000043,Gloucestershire,Persistent HP–LA,5,247,393,0.0127226463104326,14064,0.0175625711035267
E54000043,Gloucestershire,Resolved / improved,14,505,393,0.0356234096692112,14064,0.0359072810011377
