ICB23CD,ICB23NM,year,n_lsoas,mean_care50_rate,median_care50_rate,mean_Astar,median_Astar,care50_weighted_mean_Astar,annual_relative_hpla_count,annual_relative_hpla_percent
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2001,569,0.016776734798044955,0.0162054483692117,1.3026197401730524,1.22571355328773,1.2977526246302178,44,7.732864674868189
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2011,569,0.021269780245464373,0.0207515991960686,1.4609593567743286,1.35227975000921,1.4526682991240067,49,8.611599297012303
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2021,569,0.023961570427379345,0.02291917973462,1.394945028545993,1.32792642221697,1.3866676043658408,77,13.53251318101933
E54000039,"Bristol, North Somerset and South Gloucestershire",2001,581,0.019784607558136342,0.0190684491820713,0.9627917288836934,0.980970794372956,0.9569057827713561,112,19.27710843373494
E54000039,"Bristol, North Somerset and South Gloucestershire",2011,581,0.022938635728871167,0.0223539821826473,1.29839334139034,1.34274590462511,1.2731039379688736,91,15.66265060240964
E54000039,"Bristol, North Somerset and South Gloucestershire",2021,581,0.023097735849145942,0.0229485396383866,1.4608418332255222,1.53087923353363,1.4009766988246348,86,14.802065404475043
E54000036,Cornwall and the Isles of Scilly,2001,337,0.027821596107091628,0.027852153947722,0.7297077575590113,0.720913898216489,0.7220706743127667,246,72.99703264094956
E54000036,Cornwall and the Isles of Scilly,2011,337,0.031525341705661576,0.0309584110246355,0.9056738172896238,0.909789573006485,0.9058644691041465,244,72.40356083086054
E54000036,Cornwall and the Isles of Scilly,2021,337,0.032153387902539625,0.0318021201413428,0.9744604304387192,0.977776705050536,0.9807759219212172,212,62.908011869436194
E54000037,Devon,2001,729,0.023628702699114795,0.0229392928873968,1.0414968814228611,0.833191746332425,0.9884671171016628,307,42.11248285322359
E54000037,Devon,2011,729,0.028982301089781826,0.0280782621923729,1.2052265996560256,1.02373797072649,1.1460152133029784,329,45.13031550068587
E54000037,Devon,2021,729,0.03086528837734886,0.0299750208159867,1.1789665885661096,1.07046711584376,1.1423911239992661,352,48.28532235939643
E54000041,Dorset,2001,463,0.020974454519727865,0.0203231144040855,0.9016951932401271,0.832463530305997,0.891384202802278,190,41.03671706263499
E54000041,Dorset,2011,463,0.025390335929433794,0.0251082755328483,1.129893787374765,1.12318582200719,1.124799791671062,181,39.09287257019439
E54000041,Dorset,2021,463,0.027271055168554735,0.0265017667844523,1.189189892910257,1.20297074770231,1.1796790801372579,158,34.12526997840173
E54000043,Gloucestershire,2001,393,0.017531605264437766,0.0172733659895178,1.201009191723813,1.1886152407176,1.2064381802810353,21,5.343511450381679
E54000043,Gloucestershire,2011,393,0.021808475379329662,0.0211754477799744,1.41447684833396,1.4502238468692,1.4156336556389117,25,6.361323155216285
E54000043,Gloucestershire,2021,393,0.023060512071455822,0.0228116710875332,1.5011324126713692,1.57814489081465,1.4909313930012031,29,7.37913486005089
E54000038,Somerset,2001,339,0.02022664026424753,0.019547512278324,1.0780553556631902,1.14396064246354,1.04533270836947,65,19.174041297935105
E54000038,Somerset,2011,339,0.024877830067769207,0.0242850117455157,1.3209921317454305,1.36579671705583,1.284083396369447,56,16.519174041297934
E54000038,Somerset,2021,339,0.027325929454601706,0.026235509456986,1.2399268203898284,1.26832544309446,1.2184446424879212,86,25.368731563421832
