start_year,end_year,start_hpla,end_hpla,transition,lsoas,share_of_lsoas
2001,2011,0,0,0→0,2160,0.633245382585752
2001,2011,0,1,0→1,252,0.0738786279683377
2001,2011,1,0,1→0,269,0.0788625036646145
2001,2011,1,1,1→1,730,0.214013485781296
2011,2021,0,0,0→0,2155,0.631779536792729
2011,2021,0,1,0→1,274,0.0803283494576371
2011,2021,1,0,1→0,275,0.0806215186162416
2011,2021,1,1,1→1,707,0.207270595133392
2001,2021,0,0,0→0,2080,0.609791849897391
2001,2021,0,1,0→1,332,0.0973321606566989
2001,2021,1,0,1→0,350,0.10260920551158
2001,2021,1,1,1→1,649,0.19026678393433
