ICB23CD,ICB23NM,trajectory_category,lsoas,care50_num_2021,icb_total_lsoas,share_of_icb_lsoas,icb_total_care50_2021,share_of_icb_care50_2021
E54000036,Cornwall and the Isles of Scilly,Emerging HP–LA,30,1742,337,0.0890207715133531,17516,0.0994519296643069
E54000036,Cornwall and the Isles of Scilly,Intermittent,27,1249,337,0.0801186943620178,17516,0.0713062343000685
E54000036,Cornwall and the Isles of Scilly,Never HP–LA,45,1885,337,0.13353115727003,17516,0.107615894039735
E54000036,Cornwall and the Isles of Scilly,Persistent HP–LA,173,9815,337,0.513353115727003,17516,0.560344827586207
E54000036,Cornwall and the Isles of Scilly,Resolved / improved,62,2825,337,0.183976261127596,17516,0.161281114409683
E54000037,Devon,Emerging HP–LA,111,6002,729,0.152263374485597,35246,0.170288827100948
E54000037,Devon,Intermittent,42,1874,729,0.0576131687242798,35246,0.0531691539465471
E54000037,Devon,Never HP–LA,282,11267,729,0.386831275720165,35246,0.31966747999773
E54000037,Devon,Persistent HP–LA,230,13441,729,0.315500685871056,35246,0.38134823809794
E54000037,Devon,Resolved / improved,64,2662,729,0.0877914951989026,35246,0.0755263008568348
E54000038,Somerset,Emerging HP–LA,37,1740,339,0.109144542772861,14765,0.117846258042668
E54000038,Somerset,Intermittent,19,857,339,0.056047197640118,14765,0.0580426684727396
E54000038,Somerset,Never HP–LA,224,9128,339,0.660766961651917,14765,0.618218760582459
E54000038,Somerset,Persistent HP–LA,33,2056,339,0.0973451327433628,14765,0.139248222146969
E54000038,Somerset,Resolved / improved,26,984,339,0.0766961651917404,14765,0.0666440907551642
E54000039,"Bristol, North Somerset and South Gloucestershire",Emerging HP–LA,27,1223,581,0.0464716006884682,21093,0.0579813208173328
E54000039,"Bristol, North Somerset and South Gloucestershire",Intermittent,24,978,581,0.0413080895008606,21093,0.0463660930166406
E54000039,"Bristol, North Somerset and South Gloucestershire",Never HP–LA,438,14619,581,0.753872633390706,21093,0.693073531503342
E54000039,"Bristol, North Somerset and South Gloucestershire",Persistent HP–LA,36,1906,581,0.0619621342512909,21093,0.0903617313800787
E54000039,"Bristol, North Somerset and South Gloucestershire",Resolved / improved,56,2367,581,0.0963855421686747,21093,0.112217323282606
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Emerging HP–LA,45,2181,569,0.0790861159929701,21216,0.102799773755656
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Intermittent,20,821,569,0.0351493848857645,21216,0.038697209653092
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Never HP–LA,455,15663,569,0.799648506151142,21216,0.738263574660634
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Persistent HP–LA,18,1020,569,0.031634446397188,21216,0.0480769230769231
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",Resolved / improved,31,1531,569,0.054481546572935,21216,0.0721625188536953
E54000041,Dorset,Emerging HP–LA,65,3325,463,0.140388768898488,20205,0.164563226924029
E54000041,Dorset,Intermittent,48,1964,463,0.103671706263499,20205,0.0972036624597872
E54000041,Dorset,Never HP–LA,176,6365,463,0.380129589632829,20205,0.315021034397426
E54000041,Dorset,Persistent HP–LA,74,4030,463,0.159827213822894,20205,0.199455580301905
E54000041,Dorset,Resolved / improved,100,4521,463,0.215982721382289,20205,0.223756495916852
E54000043,Gloucestershire,Emerging HP–LA,17,840,393,0.0432569974554707,14064,0.0597269624573379
E54000043,Gloucestershire,Intermittent,14,514,393,0.0356234096692112,14064,0.036547212741752
E54000043,Gloucestershire,Never HP–LA,344,12007,393,0.875318066157761,14064,0.853740045506257
E54000043,Gloucestershire,Persistent HP–LA,7,322,393,0.0178117048346056,14064,0.0228953356086462
E54000043,Gloucestershire,Resolved / improved,11,381,393,0.0279898218829517,14064,0.0270904436860068
