ICB23CD,ICB23NM,year,n_lsoas,mean_care50_rate,median_care50_rate,mean_Astar,median_Astar,care50_weighted_mean_Astar,annual_relative_hpla_count,annual_relative_hpla_percent
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2001,569,0.016776734798044955,0.0162054483692117,1.307794197387136,1.18224179550014,1.301292211375913,56,9.84182776801406
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2011,569,0.021269780245464373,0.0207515991960686,1.4699804758244108,1.39237199667245,1.4615906879397713,45,7.9086115992970125
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2021,569,0.023961570427379345,0.02291917973462,1.4006499352441473,1.36206809375434,1.3951166067388814,70,12.302284710017574
E54000039,"Bristol, North Somerset and South Gloucestershire",2001,581,0.019784607558136342,0.0190684491820713,0.964098387710734,1.04353865142832,0.9585444675567277,104,17.900172117039588
E54000039,"Bristol, North Somerset and South Gloucestershire",2011,581,0.022938635728871167,0.0223539821826473,1.2865503082861252,1.39412503278411,1.2654293944558674,72,12.392426850258175
E54000039,"Bristol, North Somerset and South Gloucestershire",2021,581,0.023097735849145942,0.0229485396383866,1.4481058477784006,1.57414204732896,1.3975562460067092,75,12.908777969018933
E54000036,Cornwall and the Isles of Scilly,2001,337,0.027821596107091628,0.027852153947722,0.7332614910551021,0.729172142610896,0.7233719390714373,246,72.99703264094956
E54000036,Cornwall and the Isles of Scilly,2011,337,0.031525341705661576,0.0309584110246355,0.9071062282614334,0.898883996813138,0.9074328872837154,249,73.88724035608308
E54000036,Cornwall and the Isles of Scilly,2021,337,0.032153387902539625,0.0318021201413428,0.9771736924689081,0.968849894506058,0.981577700584563,214,63.50148367952523
E54000037,Devon,2001,729,0.023628702699114795,0.0229392928873968,1.0445002020634708,0.85123390181842,0.9894808594486393,315,43.20987654320987
E54000037,Devon,2011,729,0.028982301089781826,0.0280782621923729,1.2079432775836008,1.01114859274033,1.1466920291980756,335,45.953360768175585
E54000037,Devon,2021,729,0.03086528837734886,0.0299750208159867,1.1797521541208194,1.08588794213675,1.1439207929474597,362,49.65706447187929
E54000041,Dorset,2001,463,0.020974454519727865,0.0203231144040855,0.9031852571366358,0.831697604038968,0.8910823917851973,191,41.252699784017274
E54000041,Dorset,2011,463,0.025390335929433794,0.0251082755328483,1.1312033994201203,1.12909418160223,1.125750980946926,187,40.38876889848812
E54000041,Dorset,2021,463,0.027271055168554735,0.0265017667844523,1.190476737671948,1.22338797795947,1.1822310681206523,156,33.69330453563715
E54000043,Gloucestershire,2001,393,0.017531605264437766,0.0172733659895178,1.1914773077196594,1.19846293106913,1.1883698600033321,20,5.089058524173027
E54000043,Gloucestershire,2011,393,0.021808475379329662,0.0211754477799744,1.4068141376980103,1.46391528311637,1.398732332079507,31,7.888040712468193
E54000043,Gloucestershire,2021,393,0.023060512071455822,0.0228116710875332,1.4873907594209328,1.54809801686889,1.4744358242650588,26,6.615776081424936
E54000038,Somerset,2001,339,0.02022664026424753,0.019547512278324,1.0835912658034486,1.12181631126375,1.051828790270595,67,19.76401179941003
E54000038,Somerset,2011,339,0.024877830067769207,0.0242850117455157,1.3253487296797806,1.38134386577787,1.2912150075678268,63,18.58407079646018
E54000038,Somerset,2021,339,0.027325929454601706,0.026235509456986,1.2416337952410055,1.29881921165832,1.2243131589475198,78,23.008849557522122
