ICB23CD,ICB23NM,year,urban_n,urban_mean_Astar,urban_hpla_percent,rural_n,rural_mean_Astar,rural_hpla_percent,rural_minus_urban_mean_Astar,rural_minus_urban_hpla_percentage_points
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2001,392,1.3358732762304963,11.224489795918368,177,1.2456077628865867,6.779661016949152,-0.09026551334390964,-4.444828778969216
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2011,392,1.515082757125837,6.887755102040815,177,1.3700929375749242,10.16949152542373,-0.14498981955091272,3.281736423382915
E54000040,"Bath and North East Somerset, Swindon and Wiltshire",2021,392,1.4529205468332669,13.010204081632654,177,1.2848867728546856,10.734463276836157,-0.16803377397858132,-2.275740804796497
E54000039,"Bristol, North Somerset and South Gloucestershire",2001,538,0.9871373914786822,17.286245353159853,43,0.6758429452187318,25.581395348837212,-0.3112944462599504,8.29514999567736
E54000039,"Bristol, North Somerset and South Gloucestershire",2011,538,1.3177747244490592,11.338289962825279,43,0.8958820316429021,25.581395348837212,-0.42189269280615704,14.243105386011933
E54000039,"Bristol, North Somerset and South Gloucestershire",2021,538,1.480940864839612,12.0817843866171,43,1.0372863319892867,23.25581395348837,-0.4436545328503254,11.17402956687127
E54000036,Cornwall and the Isles of Scilly,2001,153,0.7463723267954442,73.8562091503268,184,0.7223595461188392,72.28260869565217,-0.02401278067660495,-1.573600454674633
E54000036,Cornwall and the Isles of Scilly,2011,153,0.9610193808027107,70.58823529411765,184,0.8622762698983059,76.63043478260869,-0.0987431109044048,6.042199488491036
E54000036,Cornwall and the Isles of Scilly,2021,153,1.0387096440425485,52.94117647058824,184,0.9260052109973481,72.28260869565217,-0.11270443304520039,19.341432225063933
E54000037,Devon,2001,503,1.0240671138231143,50.49701789264414,226,1.0899773851824943,26.991150442477874,0.06591027135937999,-23.505867450166264
E54000037,Devon,2011,503,1.2154796537429868,53.08151093439364,226,1.191169838609392,30.08849557522124,-0.02430981513359476,-22.9930153591724
E54000037,Devon,2021,503,1.2060755307322757,52.88270377733598,226,1.1211651698926663,42.47787610619469,-0.08491036083960934,-10.404827671141291
E54000041,Dorset,2001,359,0.868475924085235,44.56824512534819,104,1.022999204881375,29.807692307692307,0.15452328079613997,-14.760552817655885
E54000041,Dorset,2011,359,1.138649000274651,40.66852367688023,104,1.1055017580088093,39.42307692307692,-0.03314724226584165,-1.2454467538033072
E54000041,Dorset,2021,359,1.209297362167295,32.03342618384401,104,1.125509389654356,39.42307692307692,-0.08378797251293912,7.389650739232913
E54000043,Gloucestershire,2001,284,1.2143929117831496,3.169014084507042,109,1.1317705962147864,10.091743119266056,-0.08262231556836319,6.922729034759014
E54000043,Gloucestershire,2011,284,1.463758990584941,5.633802816901409,109,1.25844406228619,13.761467889908257,-0.20531492829875098,8.127665073006849
E54000043,Gloucestershire,2021,284,1.5638407794905886,2.8169014084507045,109,1.2881998814412798,16.51376146788991,-0.2756408980493088,13.696860059439206
E54000038,Somerset,2001,182,1.1193619168870808,20.32967032967033,157,1.0421246511714677,19.10828025477707,-0.07723726571561307,-1.2213900748932573
E54000038,Somerset,2011,182,1.401543092823425,15.384615384615385,157,1.2370215061629444,22.29299363057325,-0.16452158666048056,6.908378245957865
E54000038,Somerset,2021,182,1.2786085588782665,17.032967032967033,157,1.1987713303876195,29.936305732484076,-0.079837228490647,12.903338699517043
