ICB23CD,settlement_type,ICB23NM,n_lsoas
E54000040,Urban,"Bath and North East Somerset, Swindon and Wiltshire",392
E54000040,Rural,"Bath and North East Somerset, Swindon and Wiltshire",177
E54000039,Urban,"Bristol, North Somerset and South Gloucestershire",538
E54000039,Rural,"Bristol, North Somerset and South Gloucestershire",43
E54000036,Urban,Cornwall and the Isles of Scilly,153
E54000036,Rural,Cornwall and the Isles of Scilly,184
E54000037,Urban,Devon,503
E54000037,Rural,Devon,226
E54000041,Urban,Dorset,359
E54000041,Rural,Dorset,104
E54000043,Urban,Gloucestershire,284
E54000043,Rural,Gloucestershire,109
E54000038,Urban,Somerset,182
E54000038,Rural,Somerset,157
